ep	i	j	time	x	y	z	phi	theta	psi	x_velocity	y_velocity	z_velocity	phi_velocity	theta_velocity	psi_velocity	rotor_speed1	rotor_speed2	rotor_speed3	rotor_speed4	r
20	2	59	3.6000000000000028	3.07791901986	8.03016306901	100.814077517	5.00095395706	4.2102249454	0.0	-0.771616071315	-0.0877635339418	-37.7085608105	-4.59255744645	-7.57710966487	0.0	464.927	409.989	415.015	405.419	0.873765078174
20	2	60	3.660000000000003	3.04784738903	8.01930445603	98.4783030213	4.73777707167	3.76165034643	0.0	-0.260314545558	-0.153018986174	-40.2303914966	-4.37490335652	-7.43940045524	0.0	463.219	411.727	411.928	407.107	0.877579652662
20	2	61	3.720000000000003	3.04201384932	8.02776665973	95.9802189894	4.49162927057	3.32238972538	0.0	0.0232578354984	0.520746389012	-43.0515774273	-4.11734378921	-7.28639556968	0.0	461.538	413.581	408.24	409.306	0.883451000254
20	2	62	3.780000000000003	3.04483653608	8.08647078525	93.3119838316	4.26482272838	2.89317718121	0.0	0.0548336240489	1.41795323628	-45.8920440058	-3.82509950457	-7.12174032487	0.0	459.326	414.804	405.114	411.916	0.892845720564
20	2	63	3.840000000000003	3.05452230496	8.19454919761	90.4731266463	4.0594768901	2.47490965677	0.0	0.36510779429	2.19625580787	-48.7125613392	-3.50090181518	-6.94340253183	0.0	456.93	416.198	402.339	414.779	0.912289670729
20	2	64	3.900000000000003	3.10255265862	8.36186940122	87.480556237	3.88047612225	2.0689185986	0.0	1.28140459436	3.52447651777	-50.8532107412	-3.12625542844	-6.74615303539	0.0	454.565	418.272	399.613	419.384	nan
20	2	65	3.960000000000003	3.1995612919	8.63717513934	84.405149636	3.72583762038	1.6756759429	0.0	1.79011383756	5.74231044671	-51.4163666089	-2.73869707743	-6.53851051693	0.0	452.089	419.658	398.981	422.691	nan
20	2	66	4.020000000000002	3.29149647987	9.05232152549	81.3351045508	3.59039362175	1.2930759128	0.0	1.14172883661	8.03670032714	-50.8351829746	-2.37904883561	-6.35190891352	0.0	450.733	419.501	400.536	424.224	nan
20	2	67	4.080000000000001	3.33576037431	9.59025031028	78.3099538262	3.47078581162	0.918841465984	0.0	0.458746660344	9.82238406589	-49.9655420434	-2.0624083657	-6.2017890915	0.0	450.46	418.667	402.795	424.66	nan
20	2	68	4.14	3.37322695446	10.22467492	75.3544123628	3.36599546726	0.551132130252	0.0	0.976432849476	11.3013465277	-48.3663814173	-1.78049376148	-6.09012877991	0.0	450.682	417.507	405.087	425.357	nan
20	2	69	4.199999999999998	3.46621933576	10.9426309896	72.5376426295	3.27324198256	0.188439832713	0.0	2.09821830049	12.5884487537	-45.3136028981	-1.54425249004	-6.01037807648	0.0	450.792	416.249	408.449	425.781	nan
20	2	70	4.259999999999997	3.60602740076	11.7263812454	69.9341143211	3.18896259999	6.11292275697	0.0	2.35272479406	13.4579640945	-41.4684721224	-1.37258599256	-5.94854674648	0.0	450.735	415.647	413.022	425.437	nan
20	2	71	4.319999999999996	3.71773676333	12.5467489679	67.5425023404	3.10884697644	5.75832403302	0.0	1.18741874269	13.8235068796	-38.5059813858	-1.30231790075	-5.87753968521	0.0	448.182	414.606	417.34	421.372	nan
